"project_id","deployment_id","subproject_name","subproject_design","placename","longitude","latitude","start_date","end_date","event_name","event_description","event_type","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","recorded_by","event","array_name"
"TT2007","T26L-2","","","T26",101.4134762,5.383322234,"12/4/07","12/6/07","","","","None","","Old logging road","","T26L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T26R-1","","","T26",101.4134762,5.383322234,"9/1/07","12/4/07","","","","None","","Old logging road","","T26R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T26R-2","","","T26",101.4134762,5.383322234,"12/4/07","2/7/08","","","","None","","Old logging road","","T26R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T08R-1","","","T08",101.4143092,5.434139621,"2/9/08","3/6/08","","","","None","","Forest trail","","T08R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T08R-2","","","T08",101.4143092,5.434139621,"3/6/08","4/20/08","","","","None","","Forest trail","","T08R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T14L-1","","","T14",101.4246921,5.417835181,"2/9/08","3/6/08","","","","None","","Forest trail","","T14L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T14R-1","","","T14",101.4246921,5.417835181,"3/6/08","3/22/08","","","","None","","Forest trail","","T14R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T20L-1","","","T20",101.4248041,5.398207836,"8/5/07","8/8/07","","","","None","","Old logging road","","T20L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T20R-1","","","T20",101.4248041,5.398207836,"8/5/07","8/11/07","","","","None","","Old logging road","","T20R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T20R-2","","","T20",101.42,5.398,"8/11/07","9/1/07","","","","None","","Old logging road","","T20R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T14T-1","","","T14t",101.4249067,5.421562359,"2/9/08","3/6/08","","","","None","","Forest trail","","T14T",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T32R-1","","","T32",101.4256175,5.361125628,"8/4/07","8/25/07","","","","None","","Old logging road","","T32R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T38L-1","","","T38",101.4283417,5.349329915,"8/4/07","9/27/07","","","","None","","Old logging road","","T38L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T38R-1","","","T38",101.4283417,5.349329915,"8/4/07","12/2/07","","","","None","","Old logging road","","T38R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T21L-1","","","T21",101.4414903,5.40199264,"8/5/07","8/11/07","","","","None","","Active logging road","","T21L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T21L-2","","","T21",101.4414903,5.401992641,"8/11/07","9/3/07","","","","None","","Active logging road","","T21L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T21L-3","","","T21",101.4414903,5.40199264,"9/3/07","10/30/07","","","","None","","Active logging road","","T21L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T15L-1","","","T15",101.4423928,5.411284509,"8/5/07","8/11/07","","","","None","","Old logging road","","T15L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T15L-2","","","T15",101.4423928,5.411284509,"8/11/07","9/3/07","","","","None","","Old logging road","","T15L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T27L-1","","","T27",101.4437737,5.374204005,"8/4/07","9/3/07","","","","None","","Old logging road","","T27L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T27L-2","","","T27",101.4437737,5.374204005,"12/4/07","2/11/08","","","","None","","Old logging road","","T27L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T27R-1","","","T27",101.4437737,5.374204005,"8/4/07","9/3/07","","","","None","","Old logging road","","T27R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T27R-2","","","T27",101.4437737,5.374204005,"9/3/07","10/16/07","","","","None","","Old logging road","","T27R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T27R-3","","","T27",101.4437737,5.374204005,"12/4/07","2/8/08","","","","None","","Old logging road","","T27R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T33L-1","","","T33",101.4438573,5.3610166,"9/3/07","12/4/07","","","","None","","Active logging road","","T33L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T33L-2","","","T33",101.4438573,5.3610166,"12/4/07","2/11/08","","","","None","","Active logging road","","T33L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T33R-1","","","T33",101.4438573,5.3610166,"9/3/07","11/15/07","","","","None","","Active logging road","","T33R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T33R-2","","","T33",101.4438573,5.3610166,"12/4/07","2/11/08","","","","None","","Active logging road","","T33R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T22L-1","","","T22",101.4517492,5.393782672,"9/2/07","10/30/07","","","","None","","Active logging road","","T22L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T22L-2","","","T22",101.4517492,5.393782672,"10/30/07","11/29/07","","","","None","","Active logging road","","T22L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T22L-3","","","T22",101.4517492,5.393782672,"12/3/07","1/12/08","","","","None","","Active logging road","","T22L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T22R-1","","","T22",101.4517492,5.393782672,"9/2/07","9/22/07","","","","None","","Active logging road","","T22R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T22R-2","","","T22",101.4517492,5.393782672,"10/30/07","12/3/07","","","","None","","Active logging road","","T22R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T22R-3","","","T22",101.4517492,5.393782672,"12/3/07","1/31/08","","","","None","","Active logging road","","T22R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T28L-1","","","T28",101.4602974,5.380918435,"9/2/07","10/30/07","","","","None","","Active logging road","","T28L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T28L-2","","","T28",101.4602974,5.380918435,"10/30/07","11/24/07","","","","None","","Active logging road","","T28L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T28L-3","","","T28",101.4602974,5.380918435,"12/3/07","1/14/08","","","","None","","Active logging road","","T28L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T28R-1","","","T28",101.4602974,5.380918435,"9/2/07","9/2/07","","","","None","","Active logging road","","T28R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T28R-2","","","T28",101.4602974,5.380918435,"10/30/07","12/3/07","","","","None","","Active logging road","","T28R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T28R-3","","","T28",101.4602974,5.380918435,"12/3/07","1/12/08","","","","None","","Active logging road","","T28R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T16L-1","","","T16",101.4621032,5.421273421,"10/31/07","12/1/07","","","","None","","Forest trail","","T16L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T16R-1","","","T16",101.4621032,5.421273421,"10/31/07","2/10/08","","","","None","","Forest trail","","T16R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T17L-1","","","T17",101.4672174,5.419334522,"8/12/07","9/4/07","","","","None","","Stream bed","","T17L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T17L-2","","","T17",101.4672174,5.419334522,"9/4/07","11/1/07","","","","None","","Stream bed","","T17L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T17L-3","","","T17",101.4672174,5.419334522,"11/1/07","2/10/08","","","","None","","Stream bed","","T17L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T23L-1","","","T23",101.4765998,5.402004272,"10/31/07","2/10/08","","","","None","","Ridge","","T23L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T23R-1","","","T23",101.4765998,5.402004272,"10/31/07","2/10/08","","","","None","","Ridge","","T23R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T23R-2","","","T23",101.478,5.402004272,"2/10/08","4/10/08","","","","None","","Ridge","","T23R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T29L-1","","","T29",101.4785869,5.382572294,"8/1/07","8/14/07","","","","None","","Old logging road","","T29L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T29R-1","","","T29",101.4785869,5.382572294,"8/1/07","9/27/07","","","","None","","Old logging road","","T29R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T36L-1","","","T36",101.4868731,5.366405524,"8/2/07","8/15/07","","","","None","","Active logging road","","T36L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T36R-1","","","T36",101.4868731,5.366405524,"8/2/07","8/15/07","","","","None","","Active logging road","","T36R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T24L-1","","","T24",101.4912562,5.39604043,"8/2/07","8/11/07","","","","None","","Old logging road","","T24L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T24R-1","","","T24",101.4912562,5.39604043,"8/1/07","8/11/07","","","","None","","Old logging road","","T24R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T24R-2","","","T24",101.4912562,5.39604043,"8/11/07","12/4/07","","","","None","","Old logging road","","T24R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T42L-1","","","T42",101.4950426,5.349849373,"7/31/07","8/11/07","","","","None","","Active logging road","","T42L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T42L-2","","","T42",101.4950426,5.349849373,"8/11/07","9/18/07","","","","None","","Active logging road","","T42L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T30L-1","","","T30",101.5002743,5.379486661,"8/2/07","10/21/07","","","","None","","Old logging road","","T30L",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","T30R-1","","","T30",101.5002743,5.379486661,"8/2/07","9/27/07","","","","None","","Old logging road","","T30R",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
"TT2007","TAW-1","","","TAW",101.52459,5.401498413,"7/29/07","9/7/07","","","","None","","Salt lick","","TAW",0,"Camera Functioning","Unknown","","Unknown","","Mark & Shariff","",""
